time,price,maxprice,minprice,use_spread,problem_indicator
0,21357.6875,21357.6875,21357.6875,False,no problemo
1,21358.3275375,21358.3275375,21358.3275375,False,no problemo
1,21362.735,21362.735,21362.735,False,no problemo
3,21358.52,21358.52,21358.52,False,no problemo
3,21359.505,21359.505,21359.505,False,no problemo
5,21357.3,21357.3,21357.3,False,no problemo
5,21359.75,21359.75,21359.75,False,no problemo
6,21353.245,21353.245,21353.245,False,no problemo
7,21346.1825,21346.1825,21346.1825,False,no problemo
9,21327.55,21327.55,21327.55,False,no problemo
10,21324.33625,21324.33625,21324.33625,False,no problemo
11,21331.465,21331.465,21331.465,False,no problemo
12,21316.3,21316.3,21316.3,False,no problemo
12,21315.86,21315.86,21315.86,False,no problemo
14,21314.695,21314.695,21314.695,False,no problemo
15,21309.9,21309.9,21309.9,False,no problemo
16,21307.27,21307.27,21307.27,False,no problemo
16,21309.785,21309.785,21309.785,False,no problemo
17,21322.92,21322.92,21322.92,False,no problemo
19,21319.095,21319.095,21319.095,False,no problemo
20,21320.08,21320.08,21320.08,False,no problemo
21,21319.880188,21319.880188,21319.880188,False,no problemo
22,21324.995,21324.995,21324.995,False,no problemo
23,21332.405,21332.405,21332.405,False,no problemo
23,21322.1,21322.1,21322.1,False,no problemo
24,21331.5,21331.5,21331.5,False,no problemo
26,21309.25029496,21309.25029496,21309.25029496,False,no problemo
27,21304.4,21304.4,21304.4,False,no problemo
27,21315.31375625,21315.31375625,21315.31375625,False,no problemo
28,21315.87249999,21315.87249999,21315.87249999,False,no problemo
29,21310.905,21310.905,21310.905,False,no problemo
30,21310.82,21310.82,21310.82,False,no problemo
31,21313.95,21313.95,21313.95,False,no problemo
32,21318.5,21318.5,21318.5,False,no problemo
33,21323.73054989,21323.73054989,21323.73054989,False,no problemo
35,21316.94999999,21316.94999999,21316.94999999,False,no problemo
36,21314.2500375,21314.2500375,21314.2500375,False,no problemo
36,21317.15,21317.15,21317.15,False,no problemo
38,21308.11973091,21308.11973091,21308.11973091,False,no problemo
38,21314.45,21314.45,21314.45,False,no problemo
40,21321.09999999,21321.09999999,21321.09999999,False,no problemo
42,21317.82499999,21317.82499999,21317.82499999,False,no problemo
43,21310.0,21310.0,21310.0,False,no problemo
43,21323.15,21323.15,21323.15,False,no problemo
44,21321.465,21321.465,21321.465,False,no problemo
45,21321.39423693,21321.39423693,21321.39423693,False,no problemo
46,21321.3,21321.3,21321.3,False,no problemo
48,21316.00007499,21316.00007499,21316.00007499,False,no problemo
48,21313.49874999,21313.49874999,21313.49874999,False,no problemo
50,21307.56,21307.56,21307.56,False,no problemo
51,21313.89,21313.89,21313.89,False,no problemo
51,21303.75,21303.75,21303.75,False,no problemo
52,21305.85,21305.85,21305.85,False,no problemo
54,21306.24769336,21306.24769336,21306.24769336,False,no problemo
55,21307.65,21307.65,21307.65,False,no problemo
56,21280.315,21280.315,21280.315,False,no problemo
57,21280.33494447,21280.33494447,21280.33494447,False,no problemo
59,21280.5,21280.5,21280.5,False,no problemo
59,21290.45,21290.45,21290.45,False,no problemo
