time,price,maxprice,minprice,use_spread,problem_indicator
0,1434.98875,1434.98875,1434.98875,False,no problemo
2,1434.8475,1434.8475,1434.8475,False,no problemo
3,1434.14500075,1434.14500075,1434.14500075,False,no problemo
3,1434.585,1434.585,1434.585,False,no problemo
4,1436.7750025,1436.7750025,1436.7750025,False,no problemo
6,1436.765,1436.765,1436.765,False,no problemo
7,1436.9025,1436.9025,1436.9025,False,no problemo
8,1437.03249999,1437.03249999,1437.03249999,False,no problemo
8,1436.25,1436.25,1436.25,False,no problemo
10,1436.89,1436.89,1436.89,False,no problemo
11,1436.80389571,1436.80389571,1436.80389571,False,no problemo
11,1438.93143704,1438.93143704,1438.93143704,False,no problemo
12,1443.83249999,1443.83249999,1443.83249999,False,no problemo
14,1448.03293604,1448.03293604,1448.03293604,False,no problemo
15,1446.99,1446.99,1446.99,False,no problemo
16,1445.39173541,1445.39173541,1445.39173541,False,no problemo
17,1444.44850175,1444.44850175,1444.44850175,False,no problemo
17,1445.58,1445.58,1445.58,False,no problemo
18,1446.13,1446.13,1446.13,False,no problemo
20,1446.45,1446.45,1446.45,False,no problemo
20,1445.525144,1445.525144,1445.525144,False,no problemo
21,1447.30193501,1447.30193501,1447.30193501,False,no problemo
23,1446.51846961,1446.51846961,1446.51846961,False,no problemo
24,1446.11,1446.11,1446.11,False,no problemo
24,1446.6525,1446.6525,1446.6525,False,no problemo
25,1445.48,1445.48,1445.48,False,no problemo
27,1445.4450625,1445.4450625,1445.4450625,False,no problemo
27,1443.94,1443.94,1443.94,False,no problemo
28,1444.44251125,1444.44251125,1444.44251125,False,no problemo
29,1443.2283173,1443.2283173,1443.2283173,False,no problemo
31,1445.75,1445.75,1445.75,False,no problemo
33,1446.96549999,1446.96549999,1446.96549999,False,no problemo
33,1448.015,1448.015,1448.015,False,no problemo
34,1448.5875,1448.5875,1448.5875,False,no problemo
35,1448.96500375,1448.96500375,1448.96500375,False,no problemo
36,1449.44,1449.44,1449.44,False,no problemo
37,1449.48996745,1449.48996745,1449.48996745,False,no problemo
39,1449.46648898,1449.46648898,1449.46648898,False,no problemo
40,1452.0500075,1452.0500075,1452.0500075,False,no problemo
41,1451.115,1451.115,1451.115,False,no problemo
41,1450.79461,1450.79461,1450.79461,False,no problemo
43,1453.61790197,1453.61790197,1453.61790197,False,no problemo
43,1453.1625,1453.1625,1453.1625,False,no problemo
47,1451.12,1451.12,1451.12,False,no problemo
48,1455.484934,1455.484934,1455.484934,False,no problemo
48,1453.63900094,1453.63900094,1453.63900094,False,no problemo
50,1452.11034882,1452.11034882,1452.11034882,False,no problemo
51,1452.71786922,1452.71786922,1452.71786922,False,no problemo
51,1454.2475,1454.2475,1454.2475,False,no problemo
52,1454.32026955,1454.32026955,1454.32026955,False,no problemo
54,1455.0975,1455.0975,1455.0975,False,no problemo
54,1454.18081562,1454.18081562,1454.18081562,False,no problemo
56,1454.12,1454.12,1454.12,False,no problemo
57,1455.23099558,1455.23099558,1455.23099558,False,no problemo
58,1457.28136579,1457.28136579,1457.28136579,False,no problemo
59,1454.92750075,1454.92750075,1454.92750075,False,no problemo
