c,time
1.0,0
1.0,1
1.0,2
1.0,3
1.0,4
1.0,5
1.0,6
1.0,7
1.0,8
1.0,9
1.0,10
1.0,11
1.0,12
0.99999789,13
1.0,14
0.999995,15
0.999995,16
1.0,17
1.0,18
0.999995,19
1.0,20
1.0,21
0.99999868,22
1.0,23
0.99999859,24
1.0,25
1.0,26
1.0,27
1.0,28
0.99999989,29
1.0,30
0.99999518,31
0.99999935,32
1.0,33
1.0,34
1.0,35
1.0,36
0.999995,37
0.99999456,38
1.0,39
1.0,40
0.99999634,41
1.0,42
1.0,43
0.99999751,44
0.99999669,45
1.0,46
1.0,47
1.0,48
1.0,49
1.0,50
1.0,51
1.0,52
1.0,53
1.0,54
1.0,55
1.0,56
1.0,57
1.0,58
1.0,59
0.999986,0
0.99999999,1
0.99999999,2
0.99999999,3
0.99999999,4
0.99999999,5
1.0,6
0.99999999,7
0.99999999,8
1.0,9
1.0,10
0.99999999,11
1.0,12
0.99999999,13
1.0,14
0.99999999,15
0.99999999,16
0.99999999,17
0.99999999,18
0.99999987,19
0.99999999,20
0.99999999,21
0.99998939,22
0.99998973,23
0.9999858,24
0.99997,25
0.99997,26
0.99999103,27
0.99999999,28
0.99999989,29
0.99999989,30
0.99999989,31
0.99997444,32
0.99999999,33
0.99998475,34
0.99999999,35
0.99999465,36
0.9999917,37
0.9999963,38
0.9999886,39
0.99999999,40
0.99999999,41
0.99999759,42
0.99999327,43
0.99999999,44
0.99999999,45
0.9999896,46
0.99999792,47
0.99999999,48
0.99999999,49
0.99999991,50
0.99998235,51
0.99999999,52
0.99999882,53
0.99999986,54
0.99999283,55
0.99997,56
0.99999971,57
0.99999999,58
0.99998556,59
