t,time,price,maxprice,minprice,use_spread,problem_indicator
2023-01-13 08:00:00,0,18826.605,18826.605,18826.605,False,no problemo
2023-01-13 08:01:00,1,18829.25232679,18829.25232679,18829.25232679,False,no problemo
2023-01-13 08:02:00,1,18822.44,18822.44,18822.44,False,no problemo
2023-01-13 08:03:00,3,18821.73004982,18821.73004982,18821.73004982,False,no problemo
2023-01-13 08:04:00,3,18828.17421203,18828.17421203,18828.17421203,False,no problemo
2023-01-13 08:05:00,4,18830.11882192,18830.11882192,18830.11882192,False,no problemo
2023-01-13 08:06:00,5,18829.62943426,18829.62943426,18829.62943426,False,no problemo
2023-01-13 08:07:00,6,18828.91728743,18828.91728743,18828.91728743,False,no problemo
2023-01-13 08:08:00,7,18828.18,18828.18,18828.18,False,no problemo
2023-01-13 08:09:00,8,18824.05599875,18824.05599875,18824.05599875,False,no problemo
2023-01-13 08:10:00,10,18823.30712139,18823.30712139,18823.30712139,False,no problemo
2023-01-13 08:11:00,11,18822.40247206,18822.40247206,18822.40247206,False,no problemo
2023-01-13 08:12:00,12,18816.49422242,18816.49422242,18816.49422242,False,no problemo
2023-01-13 08:13:00,12,18825.83,18825.83,18825.83,False,no problemo
2023-01-13 08:14:00,13,18828.0,18828.0,18828.0,False,no problemo
2023-01-13 08:15:00,14,18825.58499999,18825.58499999,18825.58499999,False,no problemo
2023-01-13 08:16:00,16,18830.5,18830.5,18830.5,False,no problemo
2023-01-13 08:17:00,16,18833.53269133,18833.53269133,18833.53269133,False,no problemo
2023-01-13 08:18:00,17,18831.67952479,18831.67952479,18831.67952479,False,no problemo
2023-01-13 08:19:00,18,18836.0,18836.0,18836.0,False,no problemo
2023-01-13 08:20:00,20,18833.07661622,18833.07661622,18833.07661622,False,no problemo
2023-01-13 08:21:00,21,18829.99,18829.99,18829.99,False,no problemo
2023-01-13 08:22:00,22,18829.39,18829.39,18829.39,False,no problemo
2023-01-13 08:23:00,22,18832.30881833,18832.30881833,18832.30881833,False,no problemo
2023-01-13 08:24:00,23,18839.87999999,18839.87999999,18839.87999999,False,no problemo
2023-01-13 08:25:00,24,18846.25,18846.25,18846.25,False,no problemo
2023-01-13 08:26:00,25,18843.013075,18843.013075,18843.013075,False,no problemo
2023-01-13 08:27:00,27,18843.61314012,18843.61314012,18843.61314012,False,no problemo
2023-01-13 08:28:00,27,18844.4648981,18844.4648981,18844.4648981,False,no problemo
2023-01-13 08:29:00,28,18845.00499999,18845.00499999,18845.00499999,False,no problemo
2023-01-13 08:30:00,30,18850.5,18850.5,18850.5,False,no problemo
2023-01-13 08:31:00,31,18853.5,18853.5,18853.5,False,no problemo
2023-01-13 08:32:00,31,18839.9849675,18839.9849675,18839.9849675,False,no problemo
2023-01-13 08:33:00,32,18838.0,18838.0,18838.0,False,no problemo
2023-01-13 08:34:00,34,18838.245,18838.245,18838.245,False,no problemo
2023-01-13 08:35:00,35,18828.26204875,18828.26204875,18828.26204875,False,no problemo
2023-01-13 08:36:00,36,18835.25,18835.25,18835.25,False,no problemo
2023-01-13 08:37:00,37,18826.555,18826.555,18826.555,False,no problemo
2023-01-13 08:38:00,38,18823.255,18823.255,18823.255,False,no problemo
2023-01-13 08:39:00,39,18831.06207698,18831.06207698,18831.06207698,False,no problemo
2023-01-13 08:40:00,40,18837.58251725,18837.58251725,18837.58251725,False,no problemo
2023-01-13 08:41:00,41,18843.0,18843.0,18843.0,False,no problemo
2023-01-13 08:42:00,42,18846.9083575,18846.9083575,18846.9083575,False,no problemo
2023-01-13 08:43:00,43,18849.820027,18849.820027,18849.820027,False,no problemo
2023-01-13 08:44:00,43,18846.91999999,18846.91999999,18846.91999999,False,no problemo
2023-01-13 08:45:00,44,18841.4925,18841.4925,18841.4925,False,no problemo
2023-01-13 08:46:00,46,18844.89374557,18844.89374557,18844.89374557,False,no problemo
2023-01-13 08:47:00,46,18848.02504349,18848.02504349,18848.02504349,False,no problemo
2023-01-13 08:48:00,48,18849.32999821,18849.32999821,18849.32999821,False,no problemo
2023-01-13 08:49:00,49,18845.1532725,18845.1532725,18845.1532725,False,no problemo
2023-01-13 08:50:00,50,18844.41,18844.41,18844.41,False,no problemo
2023-01-13 08:51:00,50,18841.47,18841.47,18841.47,False,no problemo
2023-01-13 08:52:00,52,18844.0,18844.0,18844.0,False,no problemo
2023-01-13 08:53:00,52,18847.17157331,18847.17157331,18847.17157331,False,no problemo
2023-01-13 08:54:00,54,18846.01751575,18846.01751575,18846.01751575,False,no problemo
2023-01-13 08:55:00,54,18841.14715465,18841.14715465,18841.14715465,False,no problemo
2023-01-13 08:56:00,55,18842.19,18842.19,18842.19,False,no problemo
2023-01-13 08:57:00,57,18835.305,18835.305,18835.305,False,no problemo
2023-01-13 08:58:00,57,18840.59920232,18840.59920232,18840.59920232,False,no problemo
2023-01-13 08:59:00,58,18843.22413692,18843.22413692,18843.22413692,False,no problemo
2023-01-13 09:00:00,59,18842.74749999,18842.74749999,18842.74749999,False,no problemo
