c,time
1.00021,0
1.00018,1
1.0002,2
1.000215,3
1.00019,4
1.00023198,5
1.0001805,6
1.0001943,7
1.00019061,8
1.00019,9
1.0002,10
1.00016,11
1.00016,12
1.00016,13
1.00019,14
1.00016,15
1.0002,16
1.0002,17
1.0002,18
1.00017363,19
1.00017,20
1.00016,21
1.00017,22
1.00017,23
1.00016,24
1.0001585,25
1.00018086,26
1.00015,27
1.00016,28
1.00016,29
1.00019,30
1.0002105,31
1.00023897,32
1.00025163,33
1.00021396,34
1.000205,35
1.000205,36
1.00020522,37
1.00022609,38
1.00023477,39
1.00023304,40
1.00029999,41
1.0002475,42
1.00025461,43
1.00023417,44
1.00023,45
1.00025009,46
1.00023,47
1.0002507,48
1.00024,49
1.000245,50
1.00024,51
1.00027931,52
1.00024007,53
1.00023,54
1.00024,55
1.00028,56
1.00028999,57
1.00024,58
1.00025009,59
