s,t,c,o,h,l,v,time,slot,publishedSlot,price,confidence,emaPrice,emaDifference%,maxprice,minprice,spread,spot_confidence%,use_spread,spread%,problem_indicator
o,2023-06-20 00:00:00,26824.59,26837.04668822,26844.62034239,26824.5,0,2023-06-20 00:00:00,76895794,76895794,26837.005,7.235,26761.3657,0.2818470242860653,26837.005,26837.005,0.0,0.0269590440513015,False,0.0,no problemo
k,2023-06-20 00:01:00,26815.42115351,26824.59,26829.0,26813.78955966,0,2023-06-20 00:01:00,76895946,76895946,26824.83,6.3234625200000005,26762.6305,0.2318728580945431,26824.83,26824.83,0.0,0.0235731690377907,False,0.0,no problemo
,2023-06-20 00:02:00,26809.63214404,26815.42115351,26816.18,26809.63214404,0,2023-06-20 00:02:00,76896102,76896102,26815.42115351,8.58115351,26763.7834,0.1925673783543799,26815.42115351,26815.42115351,0.0,0.0320008157279184,False,0.0,no problemo
,2023-06-20 00:03:00,26810.57118331,26809.62047666,26810.57118331,26807.03198087,0,2023-06-20 00:03:00,76896256,76896256,26809.75492606,5.52132606,26764.4837,0.1688610216126709,26809.75492606,26809.75492606,0.0,0.0205944667350654,False,0.0,no problemo
,2023-06-20 00:04:00,26805.82288588,26811.785,26812.1,26800.955,0,2023-06-20 00:04:00,76896407,76896407,26809.90714848,6.66245826,26765.1268,0.1670291069342299,26809.90714848,26809.90714848,0.0,0.0248507323173543,False,0.0,no problemo
,2023-06-20 00:05:00,26806.63514716,26805.82288588,26811.06612052,26805.56687783,0,2023-06-20 00:05:00,76896562,76896562,26805.82288588,7.58747155,26765.8278,0.1492029774660181,26805.82288588,26805.82288588,0.0,0.028305311059847,False,0.0,no problemo
,2023-06-20 00:06:00,26799.6007773,26806.81124,26810.59,26799.235,0,2023-06-20 00:06:00,76896714,76896714,26807.48007624,8.76699796,26766.5667,0.1526192544903311,26807.48007624,26807.48007624,0.0,0.0327035511546285,False,0.0,no problemo
,2023-06-20 00:07:00,26803.0,26800.48838309,26803.25989063,26799.1875,0,2023-06-20 00:07:00,76896869,76896869,26799.6007773,6.79985758,26767.2369,0.1207625351173571,26799.6007773,26799.6007773,0.0,0.0253729808757437,False,0.0,no problemo
,2023-06-20 00:08:00,26802.0,26803.0,26803.07062,26801.03665681,0,2023-06-20 00:08:00,76897024,76897024,26803.0,7.51124,26767.8085,0.1312968697533888,26803.0,26803.0,0.0,0.0280238779241129,False,0.0,no problemo
,2023-06-20 00:09:00,26803.2925,26802.0,26804.41629436,26800.0075,0,2023-06-20 00:09:00,76897175,76897175,26802.0,7.55624,26768.3631,0.1255014551152949,26802.0,26802.0,0.0,0.0281928214312364,False,0.0,no problemo
,2023-06-20 00:10:00,26802.5725,26803.2925,26803.5025,26800.01,0,2023-06-20 00:10:00,76897328,76897328,26803.2925,8.95674393,26768.8419,0.1285312242889567,26803.2925,26803.2925,0.0,0.0334165809293764,False,0.0,no problemo
,2023-06-20 00:11:00,26798.2575,26802.5725,26802.58,26797.58,0,2023-06-20 00:11:00,76897478,76897478,26802.5725,8.27233006,26769.3358,0.1240056341606674,26802.5725,26802.5725,0.0,0.0308639406161479,False,0.0,no problemo
,2023-06-20 00:12:00,26801.9531086,26798.2575,26802.35728223,26798.2575,0,2023-06-20 00:12:00,76897634,76897634,26798.2575,6.18970101,26769.8221,0.1061091378795747,26798.2575,26798.2575,0.0,0.0230974010530348,False,0.0,no problemo
,2023-06-20 00:14:00,26807.4975,26827.5902496,26827.7955678,26807.4925,0,2023-06-20 00:14:00,76897941,76897941,26827.7525,10.2925,26770.7716,0.2123953544002564,26827.7525,26827.7525,0.0,0.038365122087659,False,0.0,no problemo
,2023-06-20 00:15:00,26801.345,26807.5025,26808.13347034,26800.42680203,0,2023-06-20 00:15:00,76898097,76898097,26807.4975,6.55597864,26771.4981,0.1342885511786417,26807.4975,26807.4975,0.0,0.024455765182856,False,0.0,no problemo
,2023-06-20 00:16:00,26803.24169412,26801.345,26803.31770852,26801.345,0,2023-06-20 00:16:00,76898248,76898248,26801.345,6.6539370600000005,26771.9604,0.1096385274694282,26801.345,26801.345,0.0,0.0248268773824597,False,0.0,no problemo
,2023-06-20 00:17:00,26796.51158617,26803.23169532,26803.37,26794.56735612,0,2023-06-20 00:17:00,76898404,76898404,26803.24169412,7.08587052,26772.4346,0.1149379409832985,26803.24169412,26803.24169412,0.0,0.026436617633286,False,0.0,no problemo
,2023-06-20 00:18:00,26807.24,26796.51158617,26807.27,26796.1308685,0,2023-06-20 00:18:00,76898557,76898557,26796.50658617,9.19459914,26772.8334,0.0883443000074387,26796.50658617,26796.50658617,0.0,0.0343126784472176,False,0.0,no problemo
,2023-06-20 00:19:00,26825.165,26807.24,26830.57,26807.24,0,2023-06-20 00:19:00,76898711,76898711,26807.24,8.99,26773.1661,0.1271070800276456,26807.24,26807.24,0.0,0.033535716470625,False,0.0,no problemo
,2023-06-20 00:20:00,26819.03002575,26825.165,26825.165,26817.51829999,0,2023-06-20 00:20:00,76898864,76898864,26825.165,11.46034837,26773.72,0.1917788762902286,26825.165,26825.165,0.0,0.0427223779238636,False,0.0,no problemo
,2023-06-20 00:21:00,26821.16841048,26819.12552948,26822.92462429,26817.8,0,2023-06-20 00:21:00,76899014,76899014,26819.03002575,9.73388804,26774.3284,0.1666787564914919,26819.03002575,26819.03002575,0.0,0.0362947057766597,False,0.0,no problemo
,2023-06-20 00:22:00,26837.0,26821.16841048,26837.0,26820.91,0,2023-06-20 00:22:00,76899170,76899170,26821.16841048,10.16841048,26774.9627,0.1722732946337502,26821.16841048,26821.16841048,0.0,0.0379118848380476,False,0.0,no problemo
,2023-06-20 00:23:00,26920.86832001,26837.0,26932.0,26837.0,0,2023-06-20 00:23:00,76899324,76899324,26837.0,7.73224616,26775.7548,0.2282117971457361,26837.0,26837.0,0.0,0.0288118871706971,False,0.0,no problemo
,2023-06-20 00:24:00,26909.83630323,26925.05632771,26943.62249999,26907.13563085,0,2023-06-20 00:24:00,76899477,76899477,26919.65264862,10.90446834,26776.7409,0.5308825878454405,26919.65264862,26919.65264862,0.0,0.040507463013491,False,0.0,no problemo
,2023-06-20 00:25:00,26897.26546305,26909.77042668,26921.90524608,26893.66535433,0,2023-06-20 00:25:00,76899630,76899630,26909.11974606,8.56974606,26778.5069,0.4853850564142862,26909.11974606,26909.11974606,0.0,0.0318469951483818,False,0.0,no problemo
,2023-06-20 00:26:00,26900.90866575,26897.26546305,26902.17752602,26892.25128812,0,2023-06-20 00:26:00,76899784,76899784,26897.11932555,9.07932555,26780.3509,0.4341298565719592,26897.11932555,26897.11932555,0.0,0.0337557544364068,False,0.0,no problemo
,2023-06-20 00:27:00,26937.855,26900.88141524,26955.67312,26891.65104538,0,2023-06-20 00:27:00,76899936,76899936,26900.90866575,8.72866575,26782.138,0.4415117244765038,26900.90866575,26900.90866575,0.0,0.0324474755052168,False,0.0,no problemo
,2023-06-20 00:28:00,26914.35,26938.0,26940.63727342,26914.345,0,2023-06-20 00:28:00,76900090,76900090,26937.855,6.69862353,26783.9589,0.5713004988704486,26937.855,26937.855,0.0,0.0248669522127875,False,0.0,no problemo
,2023-06-20 00:29:00,26917.50527297,26913.97657337,26922.935,26913.45730853,0,2023-06-20 00:29:00,76900244,76900244,26914.345,7.69047191,26786.4134,0.4753286769564702,26914.345,26914.345,0.0,0.0285738772762257,False,0.0,no problemo
,2023-06-20 00:30:00,26902.25,26918.215,26925.14257142,26901.44851338,0,2023-06-20 00:30:00,76900397,76900397,26918.215,8.315,26788.645,0.4813469243781569,26918.215,26918.215,0.0,0.0308898639824371,False,0.0,no problemo
,2023-06-20 00:31:00,26873.5,26902.16498294,26904.57230952,26873.5,0,2023-06-20 00:31:00,76900549,76900549,26902.25,6.6506,26790.7461,0.4144779711734137,26902.25,26902.25,0.0,0.024721352303246,False,0.0,no problemo
,2023-06-20 00:32:00,26891.33,26870.0,26891.33,26870.0,0,2023-06-20 00:32:00,76900703,76900703,26873.5,9.28974367,26792.7126,0.3006210579195157,26873.5,26873.5,0.0,0.0345684174744636,False,0.0,no problemo
,2023-06-20 00:33:00,26882.0,26891.32,26894.5,26881.16376724,0,2023-06-20 00:33:00,76900854,76900854,26891.32,7.9657171500000015,26794.19,0.3611946159578667,26891.32,26891.32,0.0,0.0296218897026996,False,0.0,no problemo
,2023-06-20 00:34:00,26883.705,26882.0,26886.5507,26878.38,0,2023-06-20 00:34:00,76901009,76901009,26882.0,7.07999999,26795.8219,0.3205791979763447,26882.0,26882.0,0.0,0.026337326054609,False,0.0,no problemo
,2023-06-20 00:35:00,26890.87922016,26885.00385085,26895.13393159,26885.00385085,0,2023-06-20 00:35:00,76901163,76901163,26883.705,6.42728239,26797.1468,0.3219727340409483,26883.705,26883.705,0.0,0.0239077254790587,False,0.0,no problemo
,2023-06-20 00:36:00,26888.945,26891.00422016,26893.09996788,26888.86600297,0,2023-06-20 00:36:00,76901317,76901317,26890.87922016,9.86922016,26798.6445,0.3429962977590345,26890.87922016,26890.87922016,0.0,0.0367009947097641,False,0.0,no problemo
,2023-06-20 00:37:00,26898.055,26888.95,26898.63,26888.77975297,0,2023-06-20 00:37:00,76901468,76901468,26889.25,7.73467769,26800.0515,0.3317255036864122,26889.25,26889.25,0.0,0.0287649439460007,False,0.0,no problemo
,2023-06-20 00:38:00,26916.5,26898.11844058,26919.17621445,26898.055,0,2023-06-20 00:38:00,76901624,76901624,26898.11844058,8.707581189999999,26801.3965,0.3595862691796401,26898.11844058,26898.11844058,0.0,0.032372454635575,False,0.0,no problemo
,2023-06-20 00:39:00,26915.1543788,26915.19,26915.25366314,26905.745,0,2023-06-20 00:39:00,76901776,76901776,26916.76,11.17,26802.8988,0.4230122793382241,26916.76,26916.76,0.0,0.0414983081173217,False,0.0,no problemo
,2023-06-20 00:40:00,26897.25524894,26915.12,26915.12,26896.24578,0,2023-06-20 00:40:00,76901928,76901928,26915.25366314,10.74063839,26804.4098,0.4118254448844278,26915.25366314,26915.25366314,0.0,0.0399053953732902,False,0.0,no problemo
,2023-06-20 00:41:00,26891.0,26897.25524894,26897.69602894,26887.7375,0,2023-06-20 00:41:00,76902081,76902081,26896.80742255,8.96398255,26805.7541,0.3385283655400014,26896.80742255,26896.80742255,0.0,0.0333273105955493,False,0.0,no problemo
,2023-06-20 00:42:00,26887.85999999,26891.0,26891.8,26885.11325508,0,2023-06-20 00:42:00,76902235,76902235,26891.0,7.18493666,26806.9884,0.3124153062362933,26891.0,26891.0,0.0,0.026718741065784,False,0.0,no problemo
,2023-06-20 00:43:00,26883.95,26888.30351798,26892.38,26881.0,0,2023-06-20 00:43:00,76902388,76902388,26886.575,9.12543952,26808.148,0.2916957626622196,26886.575,26886.575,0.0,0.0339405056984759,False,0.0,no problemo
,2023-06-20 00:44:00,26886.82,26883.95,26886.82,26882.42,0,2023-06-20 00:44:00,76902543,76902543,26883.95,7.28651999,26809.4294,0.2771936415593684,26883.95,26883.95,0.0,0.027103606389686,False,0.0,no problemo
,2023-06-20 00:45:00,26894.0575,26886.58299074,26895.25,26886.355,0,2023-06-20 00:45:00,76902695,76902695,26886.82,8.92,26810.7004,0.2831112046720221,26886.82,26886.82,0.0,0.0331761063599191,False,0.0,no problemo
,2023-06-20 00:46:00,26900.97,26894.0575,26902.32324,26894.055,0,2023-06-20 00:46:00,76902849,76902849,26894.055,9.42053999,26811.9095,0.3054411095686341,26894.055,26894.055,0.0,0.0350283361508705,False,0.0,no problemo
,2023-06-20 00:47:00,26944.4275,26900.97,26944.4275,26900.94,0,2023-06-20 00:47:00,76903002,76903002,26901.11,7.64118905,26813.3634,0.3261820794755392,26901.11,26901.11,0.0,0.0284047351577685,False,0.0,no problemo
,2023-06-20 00:48:00,26943.0,26944.4275,26944.58822,26920.64794403,0,2023-06-20 00:48:00,76903154,76903154,26944.4225,14.28156853,26814.7944,0.4810943712005767,26944.4225,26944.4225,0.0,0.0530038026608289,False,0.0,no problemo
,2023-06-20 00:49:00,26957.57906674,26943.0,26957.57906674,26938.55842232,0,2023-06-20 00:49:00,76903308,76903308,26941.58,9.7452415,26816.4608,0.464409288542101,26941.58,26941.58,0.0,0.0361717519907889,False,0.0,no problemo
,2023-06-20 00:50:00,26937.28944484,26957.64,26980.87392437,26935.91381508,0,2023-06-20 00:50:00,76903462,76903462,26957.55931986,10.8918677,26818.3566,0.5163773107510081,26957.55931986,26957.55931986,0.0,0.0404037604842654,False,0.0,no problemo
,2023-06-20 00:51:00,26952.72499999,26935.975,26965.7475,26932.44597228,0,2023-06-20 00:51:00,76903615,76903615,26937.28944484,9.64350597,26820.211,0.4346333549251294,26937.28944484,26937.28944484,0.0,0.0357998379523195,False,0.0,no problemo
,2023-06-20 00:52:00,26948.63195956,26952.49201393,26963.59701814,26948.535,0,2023-06-20 00:52:00,76903768,76903768,26952.23393019,8.66721169,26822.0676,0.4829519160717789,26952.23393019,26952.23393019,0.0,0.0321576746196596,False,0.0,no problemo
,2023-06-20 00:53:00,26962.6493097,26948.79945956,26964.8125,26948.015,0,2023-06-20 00:53:00,76903923,76903923,26948.63195956,9.99091892,26824.0244,0.4623891845307457,26948.63195956,26948.63195956,0.0,0.0370739373152325,False,0.0,no problemo
,2023-06-20 00:54:00,26957.72911414,26962.2575,26962.2575,26953.3594804,0,2023-06-20 00:54:00,76904076,76904076,26962.5243097,11.53104149,26825.7659,0.5072166393960371,26962.5243097,26962.5243097,0.0,0.0427669210699667,False,0.0,no problemo
,2023-06-20 00:55:00,26948.67,26957.72911414,26957.72911414,26944.29805025,0,2023-06-20 00:55:00,76904231,76904231,26957.72911414,10.26053174,26827.7092,0.4823103370075726,26957.72911414,26957.72911414,0.0,0.0380615581399921,False,0.0,no problemo
,2023-06-20 00:56:00,26943.74999999,26948.14122802,26948.54,26943.54,0,2023-06-20 00:56:00,76904384,76904384,26948.675,8.68580862,26829.6266,0.4417597525666834,26948.675,26948.675,0.0,0.0322309301663254,False,0.0,no problemo
,2023-06-20 00:57:00,26960.66419075,26943.74999999,26989.5725,26943.74999999,0,2023-06-20 00:57:00,76904537,76904537,26943.6925,7.5065722,26831.7183,0.4155859483624992,26943.6925,26943.6925,0.0,0.027860220717706,False,0.0,no problemo
,2023-06-20 00:58:00,26965.74784158,26961.26923133,26972.02696355,26957.48459678,0,2023-06-20 00:58:00,76904692,76904692,26962.23931411,8.19790999,26833.5621,0.4772497291894483,26962.23931411,26962.23931411,0.0,0.0304051525338618,False,0.0,no problemo
,2023-06-20 00:59:00,26983.44279792,26965.58034158,27009.35728365,26964.92905675,0,2023-06-20 00:59:00,76904845,76904845,26965.74784158,8.30526485,26835.7893,0.4819393192559968,26965.74784158,26965.74784158,0.0,0.0307993121451415,False,0.0,no problemo
,2023-06-20 01:00:00,26967.11,26983.5,27009.05818836,26963.84,0,2023-06-20 01:00:00,76904998,76904998,26983.85697712,9.18697712,26837.7032,0.5416341231126601,26983.85697712,26983.85697712,0.0,0.0340461970569654,False,0.0,no problemo
,2023-06-20 01:01:00,26970.78427039,26967.0,26971.8525,26953.575,0,2023-06-20 01:01:00,76905150,76905150,26967.11,10.68229578,26839.6606,0.4726105244499737,26967.11,26967.11,0.0,0.0396123121090839,False,0.0,no problemo
,2023-06-20 01:02:00,26965.42,26970.89427039,26975.8125,26954.47885452,0,2023-06-20 01:02:00,76905304,76905304,26970.09125101,8.90513821,26841.6088,0.4763886403431634,26970.09125101,26970.09125101,0.0,0.0330185690775759,False,0.0,no problemo
,2023-06-20 01:03:00,26959.92207056,26965.92,26967.18386969,26959.91973454,0,2023-06-20 01:03:00,76905458,76905458,26965.85499999,8.57818339,26843.3521,0.4542889516762741,26965.85499999,26965.85499999,0.0,0.0318112790786836,False,0.0,no problemo
,2023-06-20 01:04:00,26961.22425383,26960.36259401,26964.79414863,26954.2506067,0,2023-06-20 01:04:00,76905610,76905610,26959.91973454,10.65245493,26845.241,0.4253674924449985,26959.91973454,26959.91973454,0.0,0.0395121908184039,False,0.0,no problemo
,2023-06-20 01:05:00,26979.0,26961.55,26986.53,26960.73892232,0,2023-06-20 01:05:00,76905765,76905765,26961.22425383,7.04189821,26847.039,0.4235165760834476,26961.22425383,26961.22425383,0.0,0.0261186144356915,False,0.0,no problemo
,2023-06-20 01:06:00,27000.705,26979.27,27001.19,26979.27,0,2023-06-20 01:06:00,76905916,76905916,26979.115,8.250144520000001,26848.658,0.4835481074898199,26979.115,26979.115,0.0,0.0305797448137198,False,0.0,no problemo
,2023-06-20 01:07:00,27027.67141682,27000.68346444,27065.92,26998.2525,0,2023-06-20 01:07:00,76906069,76906069,27000.71,9.93452538,26850.788,0.5552520655938258,27000.71,27000.71,0.0,0.036793570909802,False,0.0,no problemo
,2023-06-20 01:08:00,27019.0,27026.94423534,27028.82376724,27000.74067278,0,2023-06-20 01:08:00,76906222,76906222,27028.2925966,9.9795166,26852.829,0.6491849086392937,27028.2925966,27028.2925966,0.0,0.0369224824850955,False,0.0,no problemo
