s,t,c,o,h,l,v,time,slot,publishedSlot,price,confidence,emaPrice,emaDifference%,maxprice,minprice,spread,spot_confidence%,use_spread,spread%,problem_indicator
o,2023-03-12 00:00:00,1482.44999999,1483.4,1483.4,1482.445,0,2023-03-12 00:00:00,54539358,54539358,1483.4,1.16999999,1475.43036,0.5372549548334924,1483.4,1483.4,0.0,0.0788728589726304,False,0.0,no problemo
k,2023-03-12 00:01:00,1481.8,1482.44999999,1482.645,1481.8,0,2023-03-12 00:01:00,54539515,54539515,1482.44999999,1.58999998,1475.59736,0.4622510027350783,1482.44999999,1482.44999999,0.0,0.107254880772419,False,0.0,no problemo
,2023-03-12 00:02:00,1480.415,1481.77794056,1481.89499999,1479.87992982,0,2023-03-12 00:02:00,54539670,54539670,1481.97,1.21732404,1475.70759,0.4225733314439593,1481.97,1481.97,0.0,0.0821422862810988,False,0.0,no problemo
,2023-03-12 00:03:00,1480.65,1480.36008776,1481.65612362,1480.36008776,0,2023-03-12 00:03:00,54539826,54539826,1480.4,0.86,1475.82465,0.3090617400702561,1480.4,1480.4,0.0,0.0580924074574439,False,0.0,no problemo
,2023-03-12 00:04:00,1481.855,1480.65,1481.9,1479.8825,0,2023-03-12 00:04:00,54539979,54539979,1480.65,0.995,1475.97447,0.3157755040016196,1480.65,1480.65,0.0,0.067200216121298,False,0.0,no problemo
,2023-03-12 00:05:00,1480.6,1481.695,1481.8,1480.4,0,2023-03-12 00:05:00,54540137,54540137,1481.9,1.5341825,1476.09918,0.3914447668533745,1481.9,1481.9,0.0,0.1035280720696403,False,0.0,no problemo
,2023-03-12 00:06:00,1482.33277047,1480.6,1482.33277047,1480.54,0,2023-03-12 00:06:00,54540293,54540293,1480.6,1.525,1476.19923,0.2972288261515579,1480.6,1480.6,0.0,0.1029987842766446,False,0.0,no problemo
,2023-03-12 00:07:00,1483.4,1482.33277047,1483.4,1482.1,0,2023-03-12 00:07:00,54540450,54540450,1482.33277047,1.96777047,1476.28879,0.4077343893627609,1482.33277047,1482.33277047,0.0,0.1327482269299142,False,0.0,no problemo
,2023-03-12 00:08:00,1481.42258784,1483.61,1484.03,1481.08940242,0,2023-03-12 00:08:00,54540602,54540602,1483.4,1.5044075,1476.3901,0.4725562896049626,1483.4,1483.4,0.0,0.1014161723068626,False,0.0,no problemo
,2023-03-12 00:09:00,1479.97499999,1481.42258784,1481.475,1479.6125,0,2023-03-12 00:09:00,54540760,54540760,1481.3775,1.1316825,1476.56029,0.3251844988870264,1481.3775,1481.3775,0.0,0.0763939306490074,False,0.0,no problemo
