s,t,c,o,h,l,v
o,2022-11-08 00:00:00,0.99999986,1.0,1.0,0.99998812,0
k,2022-11-08 00:01:00,1.0,0.99999986,1.0,0.99998887,0
,2022-11-08 00:02:00,0.99999418,1.0,1.0,0.99998897,0
,2022-11-08 00:03:00,0.99999575,0.99999418,1.0,0.99998013,0
,2022-11-08 00:04:00,1.0,0.99999575,1.0,0.99998902,0
,2022-11-08 00:05:00,0.99999808,1.0,1.0,0.9999898,0
,2022-11-08 00:06:00,0.99999259,0.99999974,1.0,0.99998978,0
,2022-11-08 00:07:00,1.0,1.0,1.0,0.99998287,0
,2022-11-08 00:08:00,1.0,1.0,1.0,0.99998803,0
,2022-11-08 00:09:00,0.99999258,1.0,1.0,0.99999258,0
,2022-11-08 00:10:00,0.99999878,0.99999475,1.0,0.9999902,0
,2022-11-08 00:11:00,0.9999942,0.99999963,1.0,0.99998811,0
,2022-11-08 00:12:00,1.0,0.9999942,1.0,0.99998997,0
,2022-11-08 00:13:00,1.0,1.0,1.0,0.99999164,0
,2022-11-08 00:14:00,1.0,1.0,1.0,0.99998808,0
,2022-11-08 00:15:00,1.0,1.0,1.0,0.99998763,0
,2022-11-08 00:16:00,0.9999995,1.0,1.0,0.99998896,0
,2022-11-08 00:17:00,1.0,0.9999995,1.0,0.99998612,0
,2022-11-08 00:18:00,1.0,1.0,1.0,0.99998862,0
,2022-11-08 00:19:00,1.0,1.0,1.0,0.99998851,0
,2022-11-08 00:20:00,0.99999592,1.0,1.0,0.99998861,0
,2022-11-08 00:21:00,0.99999205,1.0,1.0,0.9999882,0
,2022-11-08 00:22:00,0.99999694,1.0,1.0,0.99998755,0
,2022-11-08 00:23:00,0.99999966,0.99999429,1.0,0.99998966,0
,2022-11-08 00:24:00,0.99998809,0.99998765,1.0,0.99998765,0
,2022-11-08 00:25:00,1.0,1.0,1.0,0.99998738,0
,2022-11-08 00:26:00,1.0,1.0,1.0,0.99997645,0
,2022-11-08 00:27:00,1.0,1.0,1.0,0.99997299,0
,2022-11-08 00:28:00,1.0,1.0,1.0,0.99997519,0
,2022-11-08 00:29:00,0.99999377,1.0,1.0,0.99998884,0
,2022-11-08 00:30:00,0.99999259,0.99999377,1.0,0.99996803,0
,2022-11-08 00:31:00,1.0,0.99999259,1.0,0.99997955,0
,2022-11-08 00:32:00,1.0,1.0,1.0,0.99997536,0
,2022-11-08 00:33:00,0.9999971,1.0,1.0,0.99997874,0
,2022-11-08 00:34:00,1.0,0.9999971,1.0,0.99998177,0
,2022-11-08 00:35:00,1.0,1.0,1.0,0.99997518,0
,2022-11-08 00:36:00,1.0,0.99999168,1.0,0.99997917,0
,2022-11-08 00:37:00,0.99998789,1.0,1.0,0.99996896,0
,2022-11-08 00:38:00,0.99999181,0.99999803,1.0,0.99998063,0
,2022-11-08 00:39:00,1.0,0.99999181,1.0,0.99997962,0
,2022-11-08 00:40:00,1.0,1.0,1.0,0.99997613,0
,2022-11-08 00:41:00,0.99998979,0.99999974,1.0,0.99997795,0
,2022-11-08 00:42:00,0.99999381,0.9999988,1.0,0.99998004,0
,2022-11-08 00:43:00,1.0,1.0,1.0,0.9999789,0
,2022-11-08 00:44:00,0.99999908,1.0,1.0,0.99997694,0
,2022-11-08 00:45:00,1.0,0.99999908,1.0,0.99997641,0
,2022-11-08 00:46:00,1.0,1.0,1.0,0.99997658,0
,2022-11-08 00:47:00,0.99999473,1.0,1.0,0.99997632,0
,2022-11-08 00:48:00,1.0,0.99999473,1.0,0.99997527,0
,2022-11-08 00:49:00,0.99999318,1.0,1.0,0.99998104,0
,2022-11-08 00:50:00,1.0,0.99999318,1.0,0.99998081,0
,2022-11-08 00:51:00,1.0,1.0,1.0,0.99997886,0
,2022-11-08 00:52:00,1.0,1.0,1.0,0.99997752,0
,2022-11-08 00:53:00,0.9999787,1.0,1.0,0.99997798,0
,2022-11-08 00:54:00,1.0,0.99999834,1.0,0.99997741,0
,2022-11-08 00:55:00,1.0,1.0,1.0,0.99998463,0
,2022-11-08 00:56:00,1.0,0.99999239,1.0,0.99997896,0
,2022-11-08 00:57:00,0.9999758,0.99998314,1.0,0.9999626,0
,2022-11-08 00:58:00,0.99999571,1.0,1.0,0.99997725,0
,2022-11-08 00:59:00,0.99998715,1.0,1.0,0.99997546,0
,2022-11-08 01:00:00,1.0,0.99998715,1.0,0.99996765,0
,2022-11-08 01:01:00,1.0,1.0,1.0,0.99997694,0
,2022-11-08 01:02:00,1.0,1.0,1.0,0.99997906,0
,2022-11-08 01:03:00,1.0,1.0,1.0,0.99997929,0
,2022-11-08 01:04:00,1.0,1.0,1.0,0.99998389,0
,2022-11-08 01:05:00,1.0,1.0,1.0,0.99998984,0
,2022-11-08 01:06:00,1.0,1.0,1.0,0.99997903,0
,2022-11-08 01:07:00,1.0,1.0,1.0,0.99997007,0
,2022-11-08 01:08:00,1.0,1.0,1.0,0.99997873,0
,2022-11-08 01:09:00,1.0,1.0,1.0,0.9999896,0
,2022-11-08 01:10:00,0.99999148,1.0,1.0,0.9999789,0
,2022-11-08 01:11:00,1.0,1.0,1.0,0.999976,0
