s,t,c,o,h,l,v
o,2022-11-08 00:00:00,1.00005008,1.00005008,1.00005837,1.00005001,0
k,2022-11-08 00:01:00,1.00005008,1.00005008,1.00006,1.00005008,0
,2022-11-08 00:02:00,1.00005008,1.00005008,1.00005074,1.00005008,0
,2022-11-08 00:03:00,1.00005418,1.00005008,1.0000572,1.00005004,0
,2022-11-08 00:04:00,1.00005008,1.00005418,1.00005418,1.00005001,0
,2022-11-08 00:05:00,1.00005074,1.00005008,1.00005441,1.00005008,0
,2022-11-08 00:06:00,1.00005186,1.00005074,1.00005348,1.00005008,0
,2022-11-08 00:07:00,1.00005008,1.00005186,1.00006,1.00005008,0
,2022-11-08 00:08:00,1.00005512,1.00005008,1.00005512,1.00005008,0
,2022-11-08 00:09:00,1.00005074,1.00005512,1.00006786,1.00005041,0
,2022-11-08 00:10:00,1.00005465,1.00005074,1.000096,1.00005074,0
,2022-11-08 00:11:00,1.00007,1.00005465,1.00008499,1.00005074,0
,2022-11-08 00:12:00,1.0000815,1.00007,1.000115,1.00007,0
,2022-11-08 00:13:00,1.000105,1.0000815,1.000105,1.0000795,0
,2022-11-08 00:14:00,1.00006857,1.000105,1.000105,1.00005714,0
,2022-11-08 00:15:00,1.00005074,1.00006857,1.00008499,1.00005074,0
,2022-11-08 00:16:00,1.00005001,1.00005627,1.00006,1.000045,0
,2022-11-08 00:17:00,1.00003,1.00005001,1.00005074,1.00003,0
,2022-11-08 00:18:00,1.00005001,1.000045,1.00005074,1.00004,0
,2022-11-08 00:19:00,1.00005,1.00005001,1.00006528,1.00004,0
,2022-11-08 00:20:00,1.00005001,1.00005,1.00005074,1.00004,0
,2022-11-08 00:21:00,1.00005001,1.00005001,1.00005074,1.00003142,0
,2022-11-08 00:22:00,1.00006,1.00005001,1.00007,1.00005001,0
,2022-11-08 00:23:00,1.00007,1.00006,1.000085,1.00006,0
,2022-11-08 00:24:00,1.00006302,1.00007,1.0000705,1.00005074,0
,2022-11-08 00:25:00,1.00006651,1.00006302,1.00007697,1.00006,0
,2022-11-08 00:26:00,1.00006151,1.00006651,1.00008473,1.00005688,0
,2022-11-08 00:27:00,1.00005822,1.00006151,1.00007675,1.00005,0
,2022-11-08 00:28:00,1.0000513,1.00005822,1.00007035,1.00005037,0
,2022-11-08 00:29:00,1.00006279,1.0000513,1.000075,1.00005074,0
,2022-11-08 00:30:00,1.00005037,1.00006779,1.0000775,1.00005001,0
,2022-11-08 00:31:00,1.00005537,1.00005037,1.00006321,1.00005037,0
,2022-11-08 00:32:00,1.00005537,1.00005537,1.0000675,1.00005037,0
,2022-11-08 00:33:00,1.00005037,1.0000675,1.0000675,1.00005037,0
,2022-11-08 00:34:00,1.00005074,1.00005037,1.000065,1.00005037,0
