c,time
1.0000425,0
1.0000425,1
1.0000425,2
1.0000425,3
1.0000425,4
1.00004,5
1.0000425,6
1.0000425,7
1.0000425,8
1.0000432,9
1.000015,10
1.00002537,11
1.00003152,12
1.0000075,13
1.0000025,14
1.0000275,15
1.0000075,16
1.0000075,17
1.00004,18
1.0000075,19
1.00005,20
1.00004,21
1.00001631,22
1.00005,23
1.00004,24
1.00005,25
1.00002525,26
1.00003912,27
1.00003,28
1.00005,29
1.00005202,30
1.00006382,31
1.00006,32
1.00005975,33
1.00006,34
1.00006,35
1.000085,36
1.00005537,37
1.0000625,38
1.000065,39
1.00005004,40
1.00005004,41
1.00005004,42
1.00005074,43
1.00006336,44
1.000071,45
1.00006399,46
1.00005001,47
1.00005008,48
1.00005008,49
1.00005997,50
1.00005074,51
1.00005008,52
1.00005953,53
1.00005482,54
1.00005074,55
1.00005074,56
1.00005001,57
1.00005008,58
1.00005008,59
