time,price,maxprice,minprice,use_spread,problem_indicator
0,1425.77750075,1425.77750075,1425.77750075,False,no problemo
1,1425.3925,1425.3925,1425.3925,False,no problemo
2,1425.81649466,1425.81649466,1425.81649466,False,no problemo
3,1425.44770525,1425.44770525,1425.44770525,False,no problemo
4,1423.83,1423.83,1423.83,False,no problemo
5,1423.71,1423.71,1423.71,False,no problemo
6,1424.53499999,1424.53499999,1424.53499999,False,no problemo
7,1426.04749999,1426.04749999,1426.04749999,False,no problemo
8,1425.99,1425.99,1425.99,False,no problemo
9,1425.62,1425.62,1425.62,False,no problemo
9,1425.96,1425.96,1425.96,False,no problemo
11,1426.00499999,1426.00499999,1426.00499999,False,no problemo
12,1426.05,1426.05,1426.05,False,no problemo
13,1426.05,1426.05,1426.05,False,no problemo
14,1425.7125,1425.7125,1425.7125,False,no problemo
15,1426.32,1426.32,1426.32,False,no problemo
16,1425.72,1425.72,1425.72,False,no problemo
17,1426.01,1426.01,1426.01,False,no problemo
18,1426.53264947,1426.53264947,1426.53264947,False,no problemo
19,1426.2175,1426.2175,1426.2175,False,no problemo
20,1426.3,1426.3,1426.3,False,no problemo
20,1427.08,1427.08,1427.08,False,no problemo
22,1427.22,1427.22,1427.22,False,no problemo
23,1427.60000001,1427.60000001,1427.60000001,False,no problemo
24,1427.41750075,1427.41750075,1427.41750075,False,no problemo
25,1428.51,1428.51,1428.51,False,no problemo
26,1430.695,1430.695,1430.695,False,no problemo
27,1429.33500149,1429.33500149,1429.33500149,False,no problemo
28,1429.25,1429.25,1429.25,False,no problemo
29,1429.095,1429.095,1429.095,False,no problemo
30,1428.10749999,1428.10749999,1428.10749999,False,no problemo
31,1428.17999999,1428.17999999,1428.17999999,False,no problemo
32,1428.085,1428.085,1428.085,False,no problemo
33,1427.53,1427.53,1427.53,False,no problemo
34,1427.62018187,1427.62018187,1427.62018187,False,no problemo
35,1428.5825,1428.5825,1428.5825,False,no problemo
36,1428.19161182,1428.19161182,1428.19161182,False,no problemo
37,1428.215,1428.215,1428.215,False,no problemo
38,1428.22,1428.22,1428.22,False,no problemo
39,1428.99,1428.99,1428.99,False,no problemo
40,1428.48000075,1428.48000075,1428.48000075,False,no problemo
40,1428.83230635,1428.83230635,1428.83230635,False,no problemo
42,1428.955,1428.955,1428.955,False,no problemo
43,1429.49,1429.49,1429.49,False,no problemo
44,1429.4,1429.4,1429.4,False,no problemo
45,1429.45,1429.45,1429.45,False,no problemo
46,1429.12032638,1429.12032638,1429.12032638,False,no problemo
47,1429.515,1429.515,1429.515,False,no problemo
48,1428.94999999,1428.94999999,1428.94999999,False,no problemo
49,1427.875,1427.875,1427.875,False,no problemo
50,1428.06,1428.06,1428.06,False,no problemo
51,1427.995,1427.995,1427.995,False,no problemo
52,1427.990067,1427.990067,1427.990067,False,no problemo
52,1427.455,1427.455,1427.455,False,no problemo
54,1427.05499999,1427.05499999,1427.05499999,False,no problemo
55,1427.19750075,1427.19750075,1427.19750075,False,no problemo
56,1426.8425,1426.8425,1426.8425,False,no problemo
57,1426.5475,1426.5475,1426.5475,False,no problemo
58,1426.675,1426.675,1426.675,False,no problemo
59,1426.6,1426.6,1426.6,False,no problemo
