c,time
0.96803328,0
0.9679304,1
0.96798136,2
0.96816154,3
0.968002,4
0.96780833,5
0.96573266,6
0.9656576,7
0.96782205,8
0.96697264,9
0.96702261,10
0.96608276,11
0.96402235,12
0.96402059,13
0.96402059,14
0.96391993,15
0.96492656,16
0.9722217,17
0.97408228,18
0.97330719,19
0.97467725,20
0.97687196,21
0.979102,22
0.979624,23
0.98161,24
0.98276606,25
0.98269,26
0.98356,27
0.98558,28
0.98605,29
0.98706,30
0.98704,31
0.9869,32
0.987175,33
0.98565243,34
0.98537,35
0.98385,36
0.98444,37
0.98348,38
0.98441,39
0.98564,40
0.98642,41
0.98454791,42
0.9835312,43
0.986,44
0.98466275,45
0.98591531,46
0.98607178,47
0.98940937,48
0.98955183,49
0.98875134,50
0.98928701,51
0.98887536,52
0.98667642,53
0.98617112,54
0.98654568,55
0.98758702,56
0.9875015,57
0.98810294,58
0.98881666,59
