s,t,c,o,h,l,v,time,slot,publishedSlot,price,confidence,emaPrice,emaDifference%,maxprice,minprice,spread,spot_confidence%,use_spread,spread%,problem_indicator
o,2023-06-20 00:00:00,1736.45,1736.57886851,1736.92737825,1736.45,0,2023-06-20 00:00:00,76895794,76895794,1736.63,0.805,1734.19382,0.1402820405037428,1736.63,1736.63,0.0,0.0463541456729412,False,0.0,no problemo
k,2023-06-20 00:01:00,1735.91953025,1736.45,1736.86499999,1735.895,0,2023-06-20 00:01:00,76895946,76895946,1736.46,0.72,1734.23715,0.1280104350229839,1736.46,1736.46,0.0,0.0414636674613869,False,0.0,no problemo
,2023-06-20 00:02:00,1735.72,1735.91953025,1735.95206866,1735.70755734,0,2023-06-20 00:02:00,76896102,76896102,1735.91953025,0.6986200100000001,1734.27508,0.0947307879970256,1735.91953025,1735.91953025,0.0,0.0402449536298141,False,0.0,no problemo
,2023-06-20 00:03:00,1735.2792585,1735.72,1735.74153938,1735.235,0,2023-06-20 00:03:00,76896256,76896256,1735.72,0.73560462,1734.30096,0.0817551217938374,1735.72,1735.72,0.0,0.0423803735625561,False,0.0,no problemo
,2023-06-20 00:04:00,1734.89,1735.2792585,1735.3,1734.66297616,0,2023-06-20 00:04:00,76896407,76896407,1735.34,0.71,1734.32,0.0587781068839525,1735.34,1735.34,0.0,0.0409141724388304,False,0.0,no problemo
,2023-06-20 00:05:00,1735.0025,1734.93,1735.13895799,1734.9,0,2023-06-20 00:05:00,76896562,76896562,1734.88937551,0.62014563,1734.33173,0.0321430010392449,1734.88937551,1734.88937551,0.0,0.0357455431311116,False,0.0,no problemo
,2023-06-20 00:06:00,1734.6975,1734.96499999,1735.20308203,1734.6827491,0,2023-06-20 00:06:00,76896714,76896714,1735.01560691,0.60439309,1734.34464,0.0386720965118595,1735.01560691,1735.01560691,0.0,0.034835023246644,False,0.0,no problemo
,2023-06-20 00:07:00,1734.7470302,1734.6975,1734.80749999,1734.67804319,0,2023-06-20 00:07:00,76896869,76896869,1734.6975,0.5725,1734.35659,0.0196524177846508,1734.6975,1734.6975,0.0,0.0330028722587079,False,0.0,no problemo
,2023-06-20 00:08:00,1734.8,1734.77576264,1734.9,1734.7,0,2023-06-20 00:08:00,76897024,76897024,1734.71942651,0.54057349,1734.36447,0.0204618974443657,1734.71942651,1734.71942651,0.0,0.0311620128153838,False,0.0,no problemo
,2023-06-20 00:09:00,1734.80775279,1734.875152,1734.95,1734.69999999,0,2023-06-20 00:09:00,76897175,76897175,1734.8,0.685152,1734.37239,0.024648950887708,1734.8,1734.8,0.0,0.0394945815079548,False,0.0,no problemo
,2023-06-20 00:10:00,1734.68,1734.805,1734.86,1734.62945351,0,2023-06-20 00:10:00,76897328,76897328,1734.80775279,0.56224721,1734.38166,0.024561383779541,1734.80775279,1734.80775279,0.0,0.0324097704253262,False,0.0,no problemo
,2023-06-20 00:11:00,1734.58952624,1734.68,1734.70230181,1734.5615834,0,2023-06-20 00:11:00,76897478,76897478,1734.68,0.68425374,1734.38879,0.0167875343002796,1734.68,1734.68,0.0,0.0394455311642493,False,0.0,no problemo
