s,t,c,o,h,l,v
o,2023-06-20 00:00:00,1.000035,1.0000375,1.00004998,1.000035,0
k,2023-06-20 00:01:00,1.0000325,1.000035,1.00004996,1.0000325,0
,2023-06-20 00:02:00,1.000035,1.0000325,1.00004,1.00003,0
,2023-06-20 00:03:00,1.000035,1.000035,1.00004996,1.000035,0
,2023-06-20 00:04:00,1.00003,1.000035,1.00004,1.00003,0
,2023-06-20 00:05:00,1.0000325,1.00003,1.00004,1.00003,0
,2023-06-20 00:06:00,1.0000325,1.0000325,1.00004,1.00003,0
,2023-06-20 00:07:00,1.000035,1.0000325,1.00004192,1.0000325,0
,2023-06-20 00:08:00,1.0000348,1.000035,1.00004,1.0000325,0
,2023-06-20 00:09:00,1.0000325,1.0000348,1.0000375,1.0000325,0
,2023-06-20 00:10:00,1.00004216,1.0000325,1.00004996,1.0000325,0
,2023-06-20 00:11:00,1.0000375,1.00004216,1.00004996,1.0000325,0
,2023-06-20 00:12:00,1.000035,1.0000375,1.00004998,1.000035,0
,2023-06-20 00:13:00,1.00004998,1.000035,1.00005,1.000035,0
,2023-06-20 00:14:00,1.00005,1.00004998,1.00005001,1.0000457,0
,2023-06-20 00:15:00,1.00004998,1.00005,1.00005,1.0000375,0
,2023-06-20 00:16:00,1.00004498,1.00004998,1.00005,1.0000375,0
,2023-06-20 00:17:00,1.00004996,1.00004498,1.00005,1.0000375,0
,2023-06-20 00:18:00,1.00004996,1.00004996,1.00005001,1.00004,0
,2023-06-20 00:19:00,1.00004996,1.00004996,1.00005,1.00004,0
,2023-06-20 00:20:00,1.00005,1.00004996,1.00005,1.00004,0
,2023-06-20 00:21:00,1.00005,1.00005,1.00005001,1.00004303,0
,2023-06-20 00:22:00,1.00005,1.00005,1.00005001,1.00004,0
,2023-06-20 00:23:00,1.00004,1.00005,1.00005001,1.00004,0
,2023-06-20 00:24:00,1.00004,1.00004,1.00005,1.0000375,0
,2023-06-20 00:25:00,1.0000375,1.00004,1.00005,1.000035,0
,2023-06-20 00:26:00,1.000035,1.0000375,1.00004687,1.00003,0
,2023-06-20 00:27:00,1.00004,1.000035,1.00005,1.00003,0
,2023-06-20 00:28:00,1.0000375,1.000035,1.00004498,1.000035,0
,2023-06-20 00:29:00,1.00004,1.0000375,1.00004996,1.000035,0
,2023-06-20 00:30:00,1.00004498,1.00004,1.00005,1.00004,0
,2023-06-20 00:31:00,1.00004996,1.00004498,1.00005,1.000035,0
,2023-06-20 00:32:00,1.00004,1.00004996,1.00005,1.0000375,0
,2023-06-20 00:33:00,1.00004,1.00004,1.00005,1.0000375,0
,2023-06-20 00:34:00,1.00004497,1.00004,1.00004998,1.000035,0
,2023-06-20 00:35:00,1.00004988,1.00004497,1.00004996,1.00004,0
,2023-06-20 00:36:00,1.00004992,1.00004875,1.00004998,1.0000375,0
,2023-06-20 00:37:00,1.00004494,1.00004992,1.00004992,1.0000375,0
,2023-06-20 00:38:00,1.00004,1.00004494,1.00004494,1.00003744,0
,2023-06-20 00:39:00,1.00004,1.00004,1.00004025,1.000035,0
,2023-06-20 00:40:00,1.00004996,1.00003988,1.00004996,1.000035,0
,2023-06-20 00:41:00,1.00003989,1.00004996,1.00004996,1.00003989,0
,2023-06-20 00:42:00,1.00004498,1.00003989,1.00004498,1.000035,0
,2023-06-20 00:43:00,1.0000375,1.00004498,1.00004498,1.0000375,0
,2023-06-20 00:44:00,1.00004498,1.0000375,1.00004996,1.0000375,0
,2023-06-20 00:45:00,1.00004,1.00004498,1.00004996,1.000035,0
