s,t,c,o,h,l,v
o,2023-01-13 00:00:00,1.00007965,1.00008,1.0000949,1.0000585,0
k,2023-01-13 00:01:00,1.00008,1.00007965,1.00008999,1.00005889,0
,2023-01-13 00:02:00,1.00008391,1.00008,1.00008999,1.0000508,0
,2023-01-13 00:03:00,1.00008,1.00008,1.00009369,1.00007382,0
,2023-01-13 00:04:00,1.00007537,1.00008,1.00009584,1.00005084,0
,2023-01-13 00:05:00,1.00008332,1.00007537,1.00009592,1.00006,0
,2023-01-13 00:06:00,1.000085,1.00008332,1.00009167,1.00006,0
,2023-01-13 00:07:00,1.0000897,1.000085,1.0000975,1.00006,0
,2023-01-13 00:08:00,1.00007,1.0000897,1.00009253,1.00005045,0
,2023-01-13 00:09:00,1.00007,1.00007,1.00009053,1.00005,0
,2023-01-13 00:10:00,1.00007036,1.00007,1.00009038,1.00005,0
,2023-01-13 00:11:00,1.0000735,1.00007036,1.00009273,1.00005,0
,2023-01-13 00:12:00,1.00009065,1.0000735,1.00009947,1.00006028,0
,2023-01-13 00:13:00,1.00007,1.00009065,1.0001,1.00006,0
,2023-01-13 00:14:00,1.00008767,1.00007,1.0000941,1.00005708,0
,2023-01-13 00:15:00,1.00007409,1.00007,1.00009722,1.00006,0
,2023-01-13 00:16:00,1.00007658,1.00007409,1.00009355,1.00007,0
,2023-01-13 00:17:00,1.0000795,1.00008,1.00009433,1.00005852,0
,2023-01-13 00:18:00,1.00005074,1.0000795,1.00008,1.00005074,0
,2023-01-13 00:19:00,1.00005074,1.00005074,1.000055,1.00005074,0
,2023-01-13 00:20:00,1.00005074,1.00005074,1.00006,1.00005074,0
,2023-01-13 00:21:00,1.00006831,1.000055,1.0001,1.00005001,0
,2023-01-13 00:22:00,1.00006664,1.00006831,1.000105,1.00006,0
,2023-01-13 00:23:00,1.00006359,1.00006664,1.0001,1.00005918,0
,2023-01-13 00:24:00,1.000055,1.00006359,1.0001,1.00005074,0
,2023-01-13 00:25:00,1.000055,1.000055,1.00006,1.00005074,0
,2023-01-13 00:26:00,1.00005571,1.000055,1.00006,1.00005074,0
,2023-01-13 00:27:00,1.0000725,1.00005571,1.0001,1.00005571,0
,2023-01-13 00:28:00,1.0001,1.0000725,1.0001,1.0000725,0
,2023-01-13 00:29:00,1.000055,1.0001,1.0001,1.00005074,0
,2023-01-13 00:30:00,1.00005562,1.000055,1.00006,1.00005074,0
,2023-01-13 00:31:00,1.000055,1.000055,1.00006,1.000055,0
,2023-01-13 00:32:00,1.00005676,1.000055,1.00006,1.00005074,0
,2023-01-13 00:33:00,1.00005074,1.00005676,1.00006545,1.00005001,0
,2023-01-13 00:34:00,1.000055,1.00005074,1.00006,1.00005074,0
,2023-01-13 00:35:00,1.000065,1.000055,1.0000677,1.00005074,0
,2023-01-13 00:36:00,1.00005074,1.000065,1.00007475,1.00005001,0
,2023-01-13 00:37:00,1.00005001,1.00005074,1.000055,1.00005001,0
,2023-01-13 00:38:00,1.00005074,1.00005001,1.000055,1.00005001,0
,2023-01-13 00:39:00,1.00005074,1.000055,1.00005726,1.00004341,0
,2023-01-13 00:40:00,1.00006,1.00005074,1.00006,1.00005001,0
,2023-01-13 00:41:00,1.00005074,1.00006,1.00006591,1.00005001,0
,2023-01-13 00:42:00,1.00005074,1.00005074,1.000055,1.00005001,0
,2023-01-13 00:43:00,1.000055,1.00005074,1.000055,1.00005,0
,2023-01-13 00:44:00,1.00005074,1.000055,1.00006,1.00005001,0
,2023-01-13 00:45:00,1.00004693,1.00005074,1.00006,1.00004693,0
,2023-01-13 00:46:00,1.00003875,1.00004693,1.00005001,1.000035,0
,2023-01-13 00:47:00,1.00004,1.00003875,1.00005001,1.000035,0
,2023-01-13 00:48:00,1.00004,1.00004,1.0000481,1.000035,0
,2023-01-13 00:49:00,1.00004,1.00004,1.00005001,1.00003855,0
,2023-01-13 00:50:00,1.000045,1.00004,1.00005,1.000035,0
,2023-01-13 00:51:00,1.000045,1.00005,1.00005001,1.000045,0
,2023-01-13 00:52:00,1.00005,1.000045,1.00005,1.00004,0
,2023-01-13 00:53:00,1.00005001,1.00005,1.00005001,1.00004,0
,2023-01-13 00:54:00,1.00005001,1.00005001,1.00005037,1.000045,0
,2023-01-13 00:55:00,1.00005,1.00005001,1.00005001,1.000045,0
,2023-01-13 00:56:00,1.00005,1.00005,1.00005001,1.00003,0
,2023-01-13 00:57:00,1.00004,1.00004222,1.00005001,1.0000281,0
,2023-01-13 00:58:00,1.00004,1.00004,1.00005,1.00003661,0
,2023-01-13 00:59:00,1.00005,1.00004,1.00005001,1.00003853,0
,2023-01-13 01:00:00,1.000045,1.00005,1.00005,1.00004,0
,2023-01-13 01:01:00,1.00005,1.000045,1.00005001,1.00004,0
,2023-01-13 01:02:00,1.00005001,1.00005,1.00005001,1.00004,0
,2023-01-13 01:03:00,1.00005,1.00005001,1.00005001,1.00004,0
,2023-01-13 01:04:00,1.000045,1.00005,1.00005,1.00004,0
,2023-01-13 01:05:00,1.00004995,1.000045,1.00005001,1.000045,0
,2023-01-13 01:06:00,1.00005,1.00004995,1.00005001,1.000045,0
,2023-01-13 01:07:00,1.000045,1.000045,1.00005,1.00004,0
,2023-01-13 01:08:00,1.00005,1.000045,1.00005001,1.00004,0
,2023-01-13 01:09:00,1.00005,1.00005,1.00005001,1.000045,0
,2023-01-13 01:10:00,1.00005001,1.00005,1.00005074,1.000045,0
,2023-01-13 01:11:00,1.00005001,1.00005001,1.00005998,1.00005,0
,2023-01-13 01:12:00,1.00005074,1.00005001,1.00005074,1.00005,0
,2023-01-13 01:13:00,1.00005008,1.00005074,1.00006,1.00005001,0
,2023-01-13 01:14:00,1.00005074,1.00005008,1.00005074,1.00005,0
,2023-01-13 01:15:00,1.00005008,1.00005074,1.00006,1.00005,0
,2023-01-13 01:16:00,1.00005008,1.00005008,1.000055,1.00005,0
,2023-01-13 01:17:00,1.00005001,1.00005008,1.00006,1.00005,0
,2023-01-13 01:18:00,1.00005008,1.00005001,1.00005074,1.00005,0
,2023-01-13 01:19:00,1.00005008,1.00005008,1.00006845,1.00005,0
,2023-01-13 01:20:00,1.000055,1.00005008,1.000055,1.000045,0
,2023-01-13 01:21:00,1.000055,1.00005074,1.000055,1.00005074,0
,2023-01-13 01:22:00,1.000015,1.000055,1.00006,1.000015,0
,2023-01-13 01:23:00,1.00001494,1.000015,1.0000395,1.00000244,0
,2023-01-13 01:24:00,1.00001,1.00001494,1.00003704,1.0,0
,2023-01-13 01:25:00,1.00002407,1.00001,1.00003127,1.00001,0
,2023-01-13 01:26:00,1.00003,1.00003,1.00003,1.00000251,0
,2023-01-13 01:27:00,1.00001,1.0000299,1.00003,1.00000777,0
,2023-01-13 01:28:00,1.00001,1.00001,1.00003,1.00000924,0
,2023-01-13 01:29:00,1.00001,1.00001,1.00003,1.00000241,0
,2023-01-13 01:30:00,1.00001,1.00001,1.00003,1.00000844,0
,2023-01-13 01:31:00,1.00001,1.00001,1.00003,0.99999,0
,2023-01-13 01:32:00,1.00003,1.00001,1.00003,1.0,0
,2023-01-13 01:33:00,1.00001,1.00003,1.00003619,0.99999306,0
,2023-01-13 01:34:00,1.00001,1.00001,1.00003,0.99999292,0
,2023-01-13 01:35:00,1.00002018,1.00001,1.00003,1.00000426,0
,2023-01-13 01:36:00,1.00001,1.000022,1.00003,1.00000024,0
,2023-01-13 01:37:00,1.00000047,1.00001,1.000015,0.99999,0
,2023-01-13 01:38:00,0.99999,1.00000047,1.00001027,0.99999,0
,2023-01-13 01:39:00,1.000002,0.99999,1.00003,0.99999,0
,2023-01-13 01:40:00,1.000005,1.000002,1.00001,0.99999,0
,2023-01-13 01:41:00,1.000005,1.000005,1.00003,1.000005,0
,2023-01-13 01:42:00,1.0,1.000005,1.00003,0.999995,0
,2023-01-13 01:43:00,1.0,1.0,1.00002644,1.0,0
,2023-01-13 01:44:00,1.00002779,1.0,1.00004111,0.9999991,0
,2023-01-13 01:45:00,1.00001,1.00002779,1.00003,0.99999568,0
,2023-01-13 01:46:00,1.00004,1.00001,1.00004305,1.00000291,0
,2023-01-13 01:47:00,1.00001,1.00004,1.00004,0.999995,0
,2023-01-13 01:48:00,1.0000206,1.00001,1.00004372,1.000002,0
,2023-01-13 01:49:00,1.00002779,1.0000206,1.00003668,1.00000552,0
,2023-01-13 01:50:00,1.00001,1.00002779,1.00004,1.0,0
,2023-01-13 01:51:00,1.00000195,1.00001,1.00004,1.00000195,0
